Unnamed,Unnamed: 0,key,question,options,survey,Unnamed: 0.1
12,12,FAMSURV2Wc_W50,"In general, how important, if at all, is having children in order for a woman to live a fulfilling life?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_W50,12.0
79,79,RACESURV34d_W43,"Overall, how much has how hard you've worked helped or hurt your ability to get ahead?","['Helped a lot', 'Helped a little', 'Hurt a little', 'Hurt a lot', 'Neither helped nor hurt', 'Refused']",Pew_American_Trends_Panel_W43,
52,52,SOCIETY_WHT_W92,Do you think white people declining as a share of the U.S. population is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",Pew_American_Trends_Panel_W92,
29,29,RQ1_F1B_W42,"In general, would you say your view of environmental research scientists is","['Mostly positive', 'Mostly negative', 'Neither positive nor negative', 'Refused']",Pew_American_Trends_Panel_W42,
49,49,GAP21Q26_a_W82,Would you say the US is doing a good or bad job dealing with global climate change?,"['Very good job', 'Somewhat good job', 'Somewhat bad job', 'Very bad job', 'Refused']",Pew_American_Trends_Panel_W82,
5,5,GAP21Q4_c_W82,Do you have a favorable or unfavorable opinion of Germany,"['Very favorable', 'Somewhat favorable', 'Somewhat unfavorable', 'Very unfavorable', 'Refused']",Pew_American_Trends_Panel_W82,
20,20,ECON1_W54,"Thinking about the nation's economy, how would you rate economic conditions in this country today?","['Excellent', 'Good', 'Only fair', 'Poor', 'Refused']",Pew_American_Trends_Panel_W54,
42,44,GROWUPGUN2A_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For protection,"['Yes, was a reason', 'No, was not a reason', 'Refused']",Pew_American_Trends_Panel_W26,
34,34,GOVPRIOc_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to providing high-quality, affordable health care to all Americans?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_W41,
74,74,REPRSNTREP_W92,How well does the Republican party represent the interests of people like you?,"['Very well', 'Somewhat well', 'Not too well', 'Not at all well', 'Refused']",Pew_American_Trends_Panel_W92,
108,108,TRAITPOLMF1B_W36,"In general, how do you think being compassionate impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']",Pew_American_Trends_Panel_W36,
73,75,GUNACTIVITYA_W26,"How often, if ever, do you visit websites about guns, hunting or other shooting sports","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']",Pew_American_Trends_Panel_W26,
75,75,INEQ11_W54,"In order to address economic inequality in this country, do you think the government Should raise taxes on people like you', 'Should not raise taxes on people like you'","['Should raise taxes on people like you', 'Should not raise taxes on people like you', 'Refused']",Pew_American_Trends_Panel_W54,
71,71,RACESURV28g_W43,"Would you say that black people are treated less fairly than white people, white people are treated less fairly than black people, or both are treated about equally in when seeking medical treatment situations?","['Black people are treated less fairly than white people', 'White people are treated less fairly than black people', 'Both are treated about equally', 'Refused']",Pew_American_Trends_Panel_W43,
76,76,RACESURV34a_W43,"Overall, how much has being white/Being black/Being Hispanic/Being Asian/Your racial background helped or hurt your ability to get ahead?","['Helped a lot', 'Helped a little', 'Hurt a little', 'Hurt a lot', 'Neither helped nor hurt', 'Refused']",Pew_American_Trends_Panel_W43,
31,31,BILLION_W92,Do you think the fact that there are some people in this country who have personal fortunes of a billion dollars or more is,"['A good thing for the country', 'A bad thing for the country', 'Neither a good thing or a bad thing', 'Refused']",Pew_American_Trends_Panel_W92,
82,82,ECON5_g_W54,Do you think the country's current economic conditions are helping or hurting people who are white?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']",Pew_American_Trends_Panel_W54,
38,40,GUNCONTRIBE_W26,"How much, if at all, do you think the amount of gun violence in video games contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_W26,
25,27,SEENMASC_W29,"On a different topic how important is it to you, personally, to be seen by others as manly or masculine?","['Very important', 'Somewhat important', 'Not too important', 'Not at all important', 'Refused']",Pew_American_Trends_Panel_W29,25.0
48,50,GUNRESPNOKIDSA_W26,Thinking about gun owners who do not have children in their home how important do you think it is for them to: Keep all of their guns in a locked place,"['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_W26,
34,34,IMPROVE3_W36,"How much, if anything, do you think having more women in top leadership positions in business and government would do to improve the quality of life for all Americans?","['A lot', 'Some', 'Not much', 'Nothing at all', 'Refused']",Pew_American_Trends_Panel_W36,
70,70,RACESURV28f_W43,"Would you say that black people are treated less fairly than white people, white people are treated less fairly than black people, or both are treated about equally in when voting in elections situations?","['Black people are treated less fairly than white people', 'White people are treated less fairly than black people', 'Both are treated about equally', 'Refused']",Pew_American_Trends_Panel_W43,
78,78,ECON5_c_W54,Do you think the country's current economic conditions are helping or hurting the middle class?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']",Pew_American_Trends_Panel_W54,
38,38,RACESURV15b_W43,"Since President Trump was elected, do you think it has become more acceptable or less acceptable for people to express racist or racially insensitive views, or is it about as acceptable as it was before?","['More acceptable', 'Less acceptable', 'About as acceptable', 'Refused']",Pew_American_Trends_Panel_W43,
40,42,GROWUPVIOL_W26,How much of a problem was gun violence in the community where you spent the majority of time when you were growing up?,"['A very big problem', 'A moderately big problem', 'A small problem', 'Not a problem at all', 'Refused']",Pew_American_Trends_Panel_W26,
31,33,GUNLOADED1_W26,"In general, as far as you know, how many of the guns in your home would you say are kept loaded?","['All are kept loaded', 'Some are kept loaded and some are not', 'None are kept loaded', 'Refused']",Pew_American_Trends_Panel_W26,
13,13,HAPPEN2b_W41,How likely do you think it is that the following will happen in the next 30 years? The world will face a major energy crisis,"['Will definitely happen', 'Will probably happen', 'Will probably not happen', 'Will definitely not happen', 'Refused']",Pew_American_Trends_Panel_W41,
77,77,ECON5_b_W54,Do you think the country's current economic conditions are helping or hurting people who are wealthy?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']",Pew_American_Trends_Panel_W54,23,27,EAT5D_W34,"How much health risk, if any, does eating food and drinks with artificial preservatives have for the average person over the course of their lifetime?","['A great deal of health risk', 'Some health risk', 'Not too much health risk', 'No health risk at all', 'Refused']",Pew_American_Trends_Panel_W34,
100,100,TRAITPOLWF1A_W36,"In general, how do you think being decisive impacts a woman's chances of getting elected to high political office?","[""Mostly helps a woman's chances"", ""Mostly hurts a woman's chances"", ""Doesn't make much of a difference"", 'Refused']",Pew_American_Trends_Panel_W36,
89,89,GAP21Q38_b_W82,"How much, if at all, do you think the US benefits from being a member of the United Nations organizations?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_W82,
39,41,GUNCONTRIBF_W26,"How much, if at all, do you think family instability contributes to gun violence in the country today?","['A great deal', 'A fair amount', 'Not too much', 'Not at all', 'Refused']",Pew_American_Trends_Panel_W26,
7,7,GOVPRIORITYb_W54,How much of a priority should the following be for the federal government to address: Reducing illegal immigration,"['A top priority', 'Important, but lower priority', 'Not too important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_W54,
48,48,WRKTRN1F2_W41,"Over the next 30 years, who should be most responsible for making sure young adults have the right skills and training to get a good job? 'Government', 'Employers', 'The education system', or 'Individuals themselves'","['Government', 'Employers', 'The education system', 'Individuals themselves', 'Refused']",Pew_American_Trends_Panel_W41,
15,17,REASONGUNA_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For protection","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_W26,
37,37,WHYNOTPOLF1C_W36,Please indicate whether you think the following is is a reason why there are fewer women than men in high political offices. Family responsibilities make it harder for women to run for higher office,"['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_W36,
75,75,GAP21Q33_q_W82,"Thinking about long-range foreign policy goals, how much priority, if any, do you think getting other countries to assume more of the costs of maintaining world order should be given?","['Top priority', 'Some priority', 'No priority', 'Refused']",Pew_American_Trends_Panel_W82,
7,7,WORRYF_W26,"How much, if at all, do you worry about the following happening to you? Being the victim of a mass shooting","['Worry a lot', 'Worry a little', 'Do not worry at all', 'Refused']",Pew_American_Trends_Panel_W26,
69,69,INEQ8_g_W54,"How much, if at all, do you think the following proposals would do to reduce economic inequality in the U.S.? Eliminating college debt","['A great deal', 'A fair amount', 'Not too much', 'Nothing at all', 'Refused']",Pew_American_Trends_Panel_W54,
55,55,INEQ5_h_W54,"How much, if at all, do you think the different life choices people make contributes to economic inequality in this country?","['Contributes a great deal', 'Contributes a fair amount', 'Contributes not too much', 'Contributes not at all', 'Refused']",Pew_American_Trends_Panel_W54,
19,19,ESSENBIZF2J_W36,"In general, how important, if at all, is it to you for someone in a top executive business position to provide guidance or mentorship to young employees?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_W36,
54,54,RACESURV21_W43,"How often, if ever, did your family talk to you about challenges you might face because of your race or ethnicity?","['Often', 'Sometimes', 'Rarely', 'Never', 'Refused']",Pew_American_Trends_Panel_W43,
46,48,GROWUPGUN6_W26,"How often, if ever, did you go shooting or to a gun range when you were growing up?","['Often', 'Sometimes', 'Hardly ever', 'Never', 'Refused']",Pew_American_Trends_Panel_W26,
40,40,GOVPRIOiF1_W41,"If you were deciding what the federal government should do to improve the quality of life for future generations, what priority would you give to increasing spending for roads, bridges and other infrastructure?","['A top priority', 'An important, but not a top priority', 'A lower priority', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_W41,
43,45,GROWUPGUN2B_W26,Would you say the following was a reason or was not a reason why there were guns in your household when you were growing up? For hunting,"['Yes, was a reason', 'No, was not a reason', 'Refused']",Pew_American_Trends_Panel_W26,
17,19,REASONGUNC_W26,"Please indicate whether the following is a major reason, a minor reason, or not a reason why you own a gun. For sport shooting, including target shooting and trap and skeet","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_W26,
54,54,GAP21Q28_W82,"How confident are you, if at all, that the actions taken by the international community will significantly reduce the effects of global climate change?","['Very confident', 'Somewhat confident', 'Not too confident', 'Not at all confident', 'Refused']",Pew_American_Trends_Panel_W82,
58,60,GUNRESPKIDSD_W26,"Thinking about gun owners who have children in their home, how important do you think it is for them to: Advise visitors that there are guns in the house","['Essential', 'Important but not essential', 'Not important', 'Should not be done', 'Refused']",Pew_American_Trends_Panel_W26,
