,Unnamed: 0,qkey,attribute,group,D_H,R_H
0,0,GROWUPVIOL_W26,Overall,Overall,"[0.04707514, 0.10710411, 0.2544054, 0.59141535]",0.0041012045241551
2,2,GUNSAFETYKIDS_W26,Overall,Overall,"[0.592894, 0.40103639, 0.0060696]",0.0
3,3,GUNRESPNOKIDSE_W26,Overall,Overall,"[0.50073715, 0.2072816, 0.19190349, 0.10007776]",0.0108521718306112
4,4,WORRYB_W26,Overall,Overall,"[0.15446245, 0.42587239, 0.41966516]",0.0008930906718119
5,5,GUNRESPNOKIDSC_W26,Overall,Overall,"[0.68188197, 0.23852026, 0.06770761, 0.01189016]",0.0067750066877655
7,7,REASONGUNA_W26,Overall,Overall,"[0.68107694, 0.24064023, 0.07828283]",0.0016208925967375
11,11,REASONGUND_W26,Overall,Overall,"[0.12738967, 0.28849794, 0.58411239]",0.0043631142104296
12,12,SHOOTFREQ_W26,Overall,Overall,"[0.05015869, 0.20075109, 0.29452645, 0.45456377]",0.0040619919063075
13,13,GUNLOADED1_W26,Overall,Overall,"[0.14476861, 0.38228253, 0.47294886]",0.0135692897385903
16,16,GUNTYPEOWNC_W26,Overall,Overall,"[0.41823727, 0.20447147, 0.37729126]",0.0183070107716257
17,17,GUNCONTRIBA_W26,Overall,Overall,"[0.30079907, 0.29173647, 0.27344811, 0.13401634]",0.0055760571124183
20,20,GUNLOCKED1_W26,Overall,Overall,"[0.42049818, 0.26886492, 0.3106369]",0.0104610338127828
25,25,GUNLOADED2_W26,Overall,Overall,"[0.32715399, 0.67284601]",0.0060719675278086
26,26,GUNSAFE_W26,Overall,Overall,"[0.68681085, 0.03497438, 0.27821477]",0.0021061330564748
28,28,CARRYGUN_W26,Overall,Overall,"[0.12243472, 0.15027496, 0.3139661, 0.41332423]",0.0014844246607134
31,31,GUNCONTRIBE_W26,Overall,Overall,"[0.27694888, 0.32011159, 0.27313091, 0.12980862]",0.0039817575267775
32,32,GROWUPGUN4_W26,Overall,Overall,"[0.20161979, 0.39686808, 0.28065614, 0.120856]",0.0075770175159494
36,36,GUNCONTRIBC_W26,Overall,Overall,"[0.2550362, 0.3031824, 0.34531886, 0.09646255]",0.0053275387893148
38,38,GUNIDENTITY_W26,Overall,Overall,"[0.24652506, 0.24080917, 0.30666787, 0.20599791]",0.0057933777580378
41,41,IMPREASONGUN_W26,Overall,Overall,"[0.49927085, 0.29788298, 0.11926615, 0.04246994, 0.04111009]",0.002899796529126
42,42,GROWUPGUN6_W26,Overall,Overall,"[0.06355962, 0.19587363, 0.23884767, 0.50171908]",0.0030226903292802
43,43,GUNRESPNOKIDSB_W26,Overall,Overall,"[0.47770585, 0.28150561, 0.14900091, 0.09178763]",0.0101947927907348
45,45,GUNRESPKIDSE_W26,Overall,Overall,"[0.42111848, 0.30977102, 0.20061342, 0.06849708]",0.0073617448058929
47,47,GUNRESPKIDSD_W26,Overall,Overall,"[0.172736, 0.26187383, 0.3417748, 0.22361536]",0.0019156580438726
50,50,GROWUPGUN7_W26,Overall,Overall,"[0.15556272, 0.22665495, 0.22245909, 0.39532324]",0.0035093728792947
52,52,REASONGUNC_W26,Overall,Overall,"[0.30563803, 0.38198467, 0.31237731]",0.0035197681111274
