nnamed,Unnamed: 0,key,question,options,survey,Unnamed: 0.1
54,54,SOCIETY_SSM_W92,Do you think same-sex marriages being legal in the U.S. is generally good or bad for our society?,"['Very good for society', 'Somewhat good for society', 'Neither good nor bad for society', 'Somewhat bad for society', 'Very bad for society', 'Refused']",Pew_American_Trends_Panel_W92,
27,27,FTRWORRYe_W41,"Still thinking about the future of our country, how worried are you, if at all, about the moral values of Americans?","['Very worried', 'Fairly worried', 'Not too worried', 'Not at all worried', 'Refused']",Pew_American_Trends_Panel_W41,
33,35,GUNLOADED2_W26,"In general, is the gun in your home kept loaded, or not?","['Yes, kept loaded', 'No, not kept loaded', 'Refused']",Pew_American_Trends_Panel_W26,
109,109,TRAITPOLMF1C_W36,"In general, how do you think being ambitious impacts a man's chances of getting elected to high political office?","[""Mostly helps a man's chances"", ""Mostly hurts a man's chances"", ""Doesn't make much of a difference"", 'Refused']",Pew_American_Trends_Panel_W36,
1,1,ESSENPOLF1A_W36,"In general, how important, if at all, is it to you for someone in high political office to be honest and ethical?","['Essential', 'Important, but not essential', 'Not important', 'Refused']",Pew_American_Trends_Panel_W36,
51,51,RACESURV19e_W43,"Do you think each is a major reason, minor reason, or not a reason why black people in our country may have a harder time getting ahead than white people? Less access to high-paying jobs","['Major reason', 'Minor reason', 'Not a reason', 'Refused']",Pew_American_Trends_Panel_W43,
47,47,WRKTRN1F1_W41,"Over the next 30 years, who should be most responsible for making sure American workers have the right skills and training to get a good job? Government', 'Employers', 'The education system', 'Individuals themselves","['Government', 'Employers', 'The education system', 'Individuals themselves', 'Refused']",Pew_American_Trends_Panel_W41,
80,80,ECON5_e_W54,Do you think the country's current economic conditions are helping or hurting older adults?,"['Helping a lot', 'Helping a little', 'Hurting a little', 'Hurting a lot', 'Neither helping nor hurting', 'Refused']",Pew_American_Trends_Panel_W54,
58,58,GAP21Q32_W82,"Now that Joe Biden is president, how you think other countries view the U.S","['A lot more positively', 'A little more positively', 'A little more negatively', 'A lot more negatively', 'Refused']",Pew_American_Trends_Panel_W82,
71,71,IMMIMPACT_W32,"Thinking about the immigrants who live in your local community, in general, would you say their impact on the community has been","['Mostly positive', 'Mostly negative', 'Neither positive nor negative', 'Refused']",Pew_American_Trends_Panel_W32,
